Category,Line-Item Name,Line-Item Name,,,,
AQUATIC FRAMEWORK,"Data Collection and Processing, For Coordinating Aquatic Framework","Data collection, cleaning, processing, analysis and data visualizations. Data collection from partner states to create strategic plan. ",,,,
AQUATIC FRAMEWORK,Aqua Corridors Tool Suite,"Developing decision Support Tool Suite to support the aquatic framework. Budget includes scoping, development,  testing with focus groups, implementing changes, and finalizing.  ",,,,
AQUATIC FRAMEWORK,Webinar and Workshop Support,Supporting Workshops for Aquatics,,,,
AQUATIC FRAMEWORK,Framework Visuals and Posters,"Graphics showcasing Conservation Practices in both print and interactive format for Framework and all associated initiatives. For framework report, posters and digital format. ",,,,
AQUATIC FRAMEWORK,Framework Development and Presentation,"Showcasing the Aquatic Corridor Framework Initiative Integration on posters, postcards, and web formats",,,,
AQUATIC FRAMEWORK,"Learning Network Courses, Aquatic Framework","Development of Learning Network courses from webinars, materials related to Aquatic Framework",,,,
,,,,,,
SE FireMap & Wildfire,SE FireMap Support ," Work with SE FireMap team to develop SE FireMap. Including proposed LEO integration into SE FIreMap decision support tool, look into other ways to integrate these two data sources ",,,,
SE FireMap & Wildfire,SE FireMap Workshop Support,Workshop Support for SE FireMap Development and Release,,,,
SE FireMap & Wildfire,SE FireMap Presentation,"Presentation of SE Firemap Support including website, fact sheets, graphics development, outreach materials ",,,,
,,,,,,
SE FireMap & Wildfire,Learning Network Courses and Wildland Fire Guide Development,Development of Learning Network Courses and Develop Wildfire Guide to a national info site.,,,,
DECIDUOUS FOREST FRAMEWORK/GWWA INITIATIVE,Framework Space on WLFW Landscape Site,"Updates to LP to host Deciduous Forest Framework Content, Data, and Related Content",,,,
DECIDUOUS FOREST FRAMEWORK/GWWA INITIATIVE,Framework Development,"Graphics, Content and Analysis support for Eastern Deciduous Forest Initiative on WLFW Landscape Site",,,,
DECIDUOUS FOREST FRAMEWORK/GWWA INITIATIVE,"Data Collection and Processing, Deciduous Framework","Data collection from partner states to create strategic plan. Work entails data collection, cleaning, processing, analysis and data visualizations. ",,,,
DECIDUOUS FOREST FRAMEWORK/GWWA INITIATIVE,"Decision Support Tools, Deciduous Framework ","Creating a Decision Support Tool Suite to support framework efforts, modeled off of the AquaCorridors Tool Suite",,,,
DECIDUOUS FOREST FRAMEWORK/GWWA INITIATIVE,Webinar and Workshop Support,Supporting Workshops for Deciduous Forests,,,,
DECIDUOUS FOREST FRAMEWORK/GWWA INITIATIVE,"Learning Network Courses, Deciduous Forests","Developing Learning Network Courses from content developed and related to framework, obtaining accreditation",,,,
DECIDUOUS FOREST FRAMEWORK/GWWA INITIATIVE,Assisting Modeling funded through Framework ,Including support for Forest-Bird Landis Pro Modeling on LP Portal,,,,
,,,,,,
GRASSLANDS FRAMEWORK/BOBWHITE INITIATIVE,Framework Presentation,Framework/Landscape:Create media-friendly versions of Grasslands and Savannas Framework Plan and Related Content,,,,
GRASSLANDS FRAMEWORK/BOBWHITE INITIATIVE,Connecitivty Partnership,"Scoping, development, feedback, and refinement of a Connectivity Partnership to enhance wildlife connectivity through collaborative planning and strategic investments",,,,
GRASSLANDS FRAMEWORK/BOBWHITE INITIATIVE,Citizen Science Application,Framework/Wildlife: Data Exchange Flow and Processing. Supports Statistics and Tracking of Requests,,,,
GRASSLANDS FRAMEWORK/BOBWHITE INITIATIVE,Grasslands Webinars,Support for Grasslands Webinars ,,,,
GRASSLANDS FRAMEWORK/BOBWHITE INITIATIVE,"Bird Locale Feature Development, Reasearch and App Replication ",Development of additional features to support monitoring effiorts and expanding scope of tool. Framework/Wildlife: UGA Project support for data management and storage: Work with UGA on BirdLocale and Vegetation/Species Data LP Platform support and AWS Storage Request and backup to LP and Support integration of Birdlocale Data (Spring Fall with new meta arrangement and present Vegetation Data Collection on LP WLFW BirdLocale website.,,,,
GRASSLANDS FRAMEWORK/BOBWHITE INITIATIVE,Developing the Learning Network ,"Developing, Marketing and Accrediting courses and platform for Bobwhite Initiatives ",,,,
GRASSLANDS FRAMEWORK/BOBWHITE INITIATIVE,Grasslands Mapping,Recover Process Supports for Analysis. Review Future Mapping Needs,,,,
690.000.00,,,,,,
WLFW - COMMS,"Learning Management Courses, Promoting Courses ","Learning Management System: Developing Courses, accreditation, Supporting Training storage (non-framework)",,,,
WLFW - COMMS,Training Development,Training Consulting and Development for all projects and frameworks on how to use tools built by FL,,,,
WLFW - COMMS,Frameworks || Comms Strategy And Support,"WLFW Framework Communication and Strategy Support: Webinar Support, Content Support, Web Support, LMS Support, Social Media, Newsletter/MailChimp Support",,,,
WLFW - COMMS,WLFW EAST Connection,"Outreach: Review WLFW-East and WLFW-West. Create splash page bifurcation, support cross linking",,,,
WLFW - COMMS,Partner Outreach,"Outreach: Work with Partners to prepare for an LP/WLFW conference in designated SE region to share and demonstrate WLFW projects, products and facilitate Stakeholder Engagement:  Landowners, and Residents",,,,
WLFW - COMMS,Publication Development,"Outreach: Development and Publication for WLFW News and Announcements, LP News Briefs, Newsletters and Mailing Member Database Management from LP and requested lists and Stats.",,,,
WLFW - COMMS,Landscape Partnerships  || Comms Strategy And Support,"Outreach: Business/marketing strategy for LP portal longevity, Partner Solicitation Points, and Illustrated Strategy Plan One pager.",,,,
,,,,,,
OTHER,Branding Support,Outreach: Revisit and streamline branding and marketing across initiatives ,,,,
OTHER ,Science Data Storage ,"Consulting Support for supporting new organizations moving into, repurposing, or building Apps, Maps, and Data. Including data storage workflow for CEAP projects.",,,,
OTHER,CWPRI Workgroup,Working Groups: Collaborative Wildlife Protection and Recover Initiative (CWPRI) Workgroups,,,,
BACK-END HOSTING/SUPPORT,"Day-to-Day User Support, Site, and Workspace Development. Maintenance and Troubleshooting",,,,,
BACK-END HOSTING/SUPPORT,Server/Software updates & security updates on LP and Learning Network.,,,,,
BACK-END HOSTING/SUPPORT,"Advanced IT, Troubleshooting all servers, Adding portal elements, plugins, functionality and/or service for Plone/LMS/GIS) /software. ",,,,,
BACK-END HOSTING/SUPPORT,Stats Management on all sites and applications.,,,,,
BACK-END HOSTING/SUPPORT,Server /Software & Backup Support on ESRI.,,,,,
BACK-END HOSTING/SUPPORT,"Learning Network. Server Support Backup LP, WLFW. And Troubleshooting",,,,,
BACK-END HOSTING/SUPPORT,"Citizen Science Tool: Server/Software and User Support on mobile app (AWS, Apple, Android).  Included troubleshooting",,,,,
BACK-END HOSTING/SUPPORT,BirdLocale: Server/Software and User Support on Bird Locale Web app (AWS). Included troubleshooting,,,,,
BACK-END HOSTING/SUPPORT,Landscape Partnership: Server and Software support Backups and Storage management on AWS.  Included troubleshooting,,,,,
BACK-END HOSTING/SUPPORT,"Server /Software & Backup Support on Posit/Rshiny (Literature Gateway, GCT Numbers)",,,,,
,,,,,,
FRONT END CONTENT MANAGEMENT,Learning Network.,,,,,
FRONT END CONTENT MANAGEMENT,"Social Media Development: TikTok, FB, LinkedIn, You Tube for Outreach, Robust Landowner/Tech Interaction, and Clarity of products, initiatives.",,,,,
FRONT END CONTENT MANAGEMENT,"Technical Writing, Visual Presentation, and Graphics.",,,,,
FRONT END CONTENT MANAGEMENT,Managing in-process content not hosted on LP,,,,,
,,,,,,
PROJECT MANAGEMENT,Conference Calls / Team Meetings/Communications/ Partners Support.,,,,,
PROJECT MANAGEMENT,"Administration, Project Management, Analytics, R&D, Review and Strategy Planning.",,,,,
PROJECT MANAGEMENT,General Project Management (Asana Task Management),,,,,
,,,,,,
TRAININGS ,Training and knowledgebase resources/ documents/videos. Help documentation. ,,,,,
,,,,,,
,,,,,,
,,,,,,Training and knowledgebase resources/ documents/videos. Help documentation. 
